Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST payment made,132379,GST,GST Payable,GST Payable Dr | To Bank,Liability
Electricity bill paid,44396,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Professional charges paid,496470,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Rent expense booked,435618,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Printer purchased,45939,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Processing charges deducted,212103,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Warehouse rent paid,264800,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Printer purchased,425092,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Rent expense booked,93239,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Printer purchased,213857,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Business travel expense,338120,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank charges deducted,140145,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Transaction charges deducted,181841,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Laptop purchased,210695,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Google advertisement expense,486638,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Transaction charges deducted,26690,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Utility expense paid,287465,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
CA fees paid,392477,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank service fee charged,347794,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST payment made,446240,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer receipt recorded,116754,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank service fee charged,400178,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Loan EMI paid,232838,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Customer payment received,262408,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Loan EMI paid,339171,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Travel reimbursement paid,265212,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Vehicle insurance paid,498582,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly rent transferred,248810,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Warehouse rent paid,45336,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST tax deposited,178564,GST,GST Payable,GST Payable Dr | To Bank,Liability
Transaction charges deducted,169848,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Promotional expense paid,174101,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Business insurance paid,387850,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Laptop purchased,45616,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer receipt recorded,219747,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Employee salary transfer,484243,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST payment made,185834,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank service fee charged,277575,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,443191,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Internet bill paid,376130,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
CA fees paid,15788,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Vehicle purchased,465726,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Facebook advertisement expense,340330,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Sales collection received,393518,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Office rent paid,483176,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Printer purchased,97345,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Monthly rent transferred,15078,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST deposited,34202,GST,GST Payable,GST Payable Dr | To Bank,Liability
Internet bill paid,72593,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Google advertisement expense,439858,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Water bill paid,387567,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Sales collection received,360868,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Loan repayment made,309725,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank charges deducted,32143,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST tax deposited,163159,GST,GST Payable,GST Payable Dr | To Bank,Liability
Printer purchased,300189,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Audit fees paid,79593,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office rent paid,284624,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Printer purchased,46665,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Business travel expense,35368,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office furniture purchased,478997,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Processing charges deducted,90446,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,59550,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Monthly rent transferred,22525,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Facebook advertisement expense,196559,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office furniture purchased,453720,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Google advertisement expense,496634,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Google advertisement expense,163994,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Advertising charges paid,392372,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Customer payment received,258818,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Insurance renewal paid,306329,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Flight ticket booked,363479,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Business insurance paid,98266,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Hotel expense paid,404603,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Flight ticket booked,85100,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Staff salary paid,73663,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Water bill paid,253915,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Vehicle insurance paid,65940,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Taxi fare paid,339968,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office rent paid,186549,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Hotel expense paid,77223,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer receipt recorded,249985,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Warehouse rent paid,112962,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST tax deposited,171138,GST,GST Payable,GST Payable Dr | To Bank,Liability
Professional charges paid,178729,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank charges deducted,169436,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Rent expense booked,62811,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Staff salary paid,378156,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Google advertisement expense,358866,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Loan repayment made,116578,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan EMI paid,113770,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Employee salary transfer,328976,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Monthly rent transferred,310146,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST liability paid,250131,GST,GST Payable,GST Payable Dr | To Bank,Liability
Transaction charges deducted,488019,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Office rent paid,438819,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Telephone bill paid,92376,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Term loan payment made,111746,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST payment made,403629,GST,GST Payable,GST Payable Dr | To Bank,Liability
Transaction charges deducted,322253,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Warehouse rent paid,273963,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Term loan payment made,152051,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office rent paid,401209,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST tax deposited,366625,GST,GST Payable,GST Payable Dr | To Bank,Liability
Hotel expense paid,387454,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Insurance renewal paid,27611,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Loan EMI paid,47032,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Payroll expense booked,71536,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Vehicle purchased,215383,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
CA fees paid,75713,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank service fee charged,122211,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales income received,31009,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Payroll expense booked,416010,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Marketing campaign expense,454084,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Audit fees paid,385519,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Rent expense booked,111880,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank commission charged,127558,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Computer equipment purchased,477602,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Processing charges deducted,11181,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Term loan payment made,270319,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST challan payment,249292,GST,GST Payable,GST Payable Dr | To Bank,Liability
Term loan payment made,71199,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Laptop purchased,17061,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Google advertisement expense,398272,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Business insurance paid,410943,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Laptop purchased,334163,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Processing charges deducted,135807,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Google advertisement expense,256315,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Warehouse rent paid,70601,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST liability paid,177356,GST,GST Payable,GST Payable Dr | To Bank,Liability
Monthly rent transferred,330196,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Term loan payment made,493136,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Staff salary paid,327491,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Taxi fare paid,448057,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Monthly rent transferred,170782,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan EMI paid,200360,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Business insurance paid,83594,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Water bill paid,286755,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Customer receipt recorded,497329,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Payroll expense booked,460780,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Professional charges paid,118346,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Vehicle purchased,108977,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Building rent payment,389390,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Customer receipt recorded,256957,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
CA fees paid,63525,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST tax deposited,12854,GST,GST Payable,GST Payable Dr | To Bank,Liability
Professional charges paid,19322,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Customer receipt recorded,295686,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Legal fees paid,258366,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank commission charged,266805,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank charges deducted,52901,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Warehouse rent paid,447750,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Vehicle insurance paid,250668,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Salary paid to employees,420619,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Consultancy fees paid,95166,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Warehouse rent paid,88297,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Audit fees paid,340732,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Electricity bill paid,383926,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Monthly rent transferred,210112,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank charges deducted,383314,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Professional charges paid,46852,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Employee salary transfer,385900,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Building rent payment,89763,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
CA fees paid,449719,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Laptop purchased,128963,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle purchased,252050,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Telephone bill paid,4709,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan repayment made,49533,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Flight ticket booked,458763,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Staff salary paid,185713,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Laptop purchased,365593,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Monthly rent transferred,251247,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Professional charges paid,64968,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Promotional expense paid,195589,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST deposited,224753,GST,GST Payable,GST Payable Dr | To Bank,Liability
Taxi fare paid,109427,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
